date,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,clear,nir,photo_id,grain_type,numpy_file,r_mean,g_mean,b_mean,r_var,g_var,b_var
"2025-01-11,13:45:15",[  196] ,[ 1224] *,[  684] ,[ 1377] *,[ 1469] *,[  910] ,[  596] ,[  375] ,[ 2143] **,[  104] ,20250111_134515_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134515_foto_normalized.npy,0.10942,0.10928,0.10977,0.07131,0.07023,0.07099
"2025-01-11,13:48:53",[  196] ,[ 1222] *,[  684] ,[ 1375] *,[ 1467] *,[  909] ,[  595] ,[  375] ,[ 2140] **,[  104] ,20250111_134853_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134853_foto_normalized.npy,0.10897,0.10803,0.10891,0.07082,0.06909,0.07021
"2025-01-11,13:49:05",[  196] ,[ 1221] *,[  683] ,[ 1375] *,[ 1467] *,[  908] ,[  595] ,[  374] ,[ 2141] **,[  104] ,20250111_134905_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134905_foto_normalized.npy,0.10877,0.10828,0.10882,0.07057,0.0694,0.0701
"2025-01-11,13:49:12",[  196] ,[ 1221] *,[  683] ,[ 1375] *,[ 1466] *,[  908] ,[  595] ,[  374] ,[ 2141] **,[  104] ,20250111_134912_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134912_foto_normalized.npy,0.10904,0.10795,0.10899,0.07084,0.06887,0.07015
"2025-01-11,13:49:29",[  197] ,[ 1224] *,[  684] ,[ 1377] *,[ 1469] *,[  910] ,[  596] ,[  375] ,[ 2149] **,[  104] ,20250111_134929_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134929_foto_normalized.npy,0.10885,0.1083,0.10861,0.07073,0.06933,0.06992
"2025-01-11,13:49:41",[  195] ,[ 1218] *,[  682] ,[ 1373] *,[ 1464] *,[  906] ,[  593] ,[  374] ,[ 2140] **,[  104] ,20250111_134941_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134941_foto_normalized.npy,0.10806,0.10683,0.10737,0.06958,0.06768,0.06866
"2025-01-11,13:49:52",[  193] ,[ 1170] *,[  661] ,[ 1334] *,[ 1425] *,[  870] ,[  574] ,[  362] ,[ 2188] **,[  106] ,20250111_134952_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134952_foto_normalized.npy,0.1087,0.10772,0.10792,0.07053,0.06879,0.06929
"2025-01-11,13:50:04",[  192] ,[ 1167] *,[  660] ,[ 1331] *,[ 1423] *,[  868] ,[  573] ,[  362] ,[ 2184] **,[  106] ,20250111_135004_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_135004_foto_normalized.npy,0.10691,0.10612,0.10631,0.06885,0.06744,0.06789
"2025-01-11,13:50:19",[  192] ,[ 1155] *,[  654] ,[ 1321] *,[ 1412] *,[  859] ,[  568] ,[  359] ,[ 2193] **,[  106] ,20250111_135019_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_135019_foto_normalized.npy,0.10561,0.10512,0.10586,0.06767,0.06684,0.06779
"2025-01-11,13:50:35",[  191] ,[ 1132] *,[  642] ,[ 1302] *,[ 1394] *,[  840] ,[  558] ,[  353] ,[ 2214] **,[  107] ,20250111_135035_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_135035_foto_normalized.npy,0.10488,0.10414,0.10516,0.06667,0.06535,0.06661
"2025-01-11,13:50:48",[  191] ,[ 1133] *,[  643] ,[ 1303] *,[ 1395] *,[  842] ,[  559] ,[  354] ,[ 2217] **,[  107] ,20250111_135048_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_135048_foto_normalized.npy,0.1068,0.10678,0.1072,0.06837,0.06791,0.06845
"2025-01-11,13:51:10",[  191] ,[ 1133] *,[  643] ,[ 1303] *,[ 1395] *,[  841] ,[  558] ,[  354] ,[ 2215] **,[  107] ,20250111_135110_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_135110_foto_normalized.npy,0.10754,0.10667,0.10784,0.06944,0.06787,0.06937
"2025-01-11,13:51:22",[  192] ,[ 1134] *,[  643] ,[ 1304] *,[ 1396] *,[  842] ,[  558] ,[  353] ,[ 2217] **,[  107] ,20250111_135122_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_135122_foto_normalized.npy,0.10669,0.10794,0.10725,0.06806,0.06905,0.06849
"2025-01-11,13:51:34",[  191] ,[ 1133] *,[  642] ,[ 1301] *,[ 1394] *,[  841] ,[  558] ,[  354] ,[ 2216] **,[  107] ,20250111_135134_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_135134_foto_normalized.npy,0.10654,0.10673,0.10582,0.06813,0.06777,0.06694
"2025-01-11,13:51:47",[  191] ,[ 1133] *,[  643] ,[ 1302] *,[ 1394] *,[  841] ,[  559] ,[  354] ,[ 2217] **,[  107] ,20250111_135147_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_135147_foto_normalized.npy,0.10701,0.10639,0.10677,0.06864,0.06741,0.06814
