date,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,clear,nir,photo_id,g,grain_type,numpy_file,r_mean,g_mean,b_meanz
"2025-01-11,16:09:18",[  215] ,[ 1408] *,[  754] ,[ 1531] *,[ 1627] *,[ 1058] *,[  674] ,[  419] ,[ 1954] *,[   96] ,20250111_160918_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/fosfato/numpy_files/20250111_160918_foto_normalized.npy,0.11135,0.11328,0.11397
"2025-01-11,16:09:33",[  215] ,[ 1413] *,[  756] ,[ 1535] *,[ 1630] *,[ 1061] *,[  676] ,[  420] ,[ 1955] *,[   96] ,20250111_160933_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/fosfato/numpy_files/20250111_160933_foto_normalized.npy,0.10995,0.11137,0.11291
"2025-01-11,16:09:39",[  215] ,[ 1413] *,[  756] ,[ 1535] *,[ 1630] *,[ 1061] *,[  676] ,[  420] ,[ 1954] *,[   96] ,20250111_160939_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/fosfato/numpy_files/20250111_160939_foto_normalized.npy,0.11022,0.1113,0.11375
"2025-01-11,16:09:59",[  203] ,[ 1306] *,[  717] ,[ 1452] *,[ 1549] *,[  982] ,[  633] ,[  396] ,[ 2059] **,[  101] ,20250111_160959_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/fosfato/numpy_files/20250111_160959_foto_normalized.npy,0.10973,0.1109,0.11277
"2025-01-11,16:10:23",[  207] ,[ 1342] *,[  731] ,[ 1480] *,[ 1575] *,[ 1008] *,[  647] ,[  404] ,[ 2025] **,[   99] ,20250111_161023_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/fosfato/numpy_files/20250111_161023_foto_normalized.npy,0.1111,0.1116,0.11383
"2025-01-11,16:10:35",[  207] ,[ 1340] *,[  730] ,[ 1478] *,[ 1573] *,[ 1007] *,[  647] ,[  404] ,[ 2023] **,[   99] ,20250111_161035_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/fosfato/numpy_files/20250111_161035_foto_normalized.npy,0.10994,0.11159,0.11283
"2025-01-11,16:10:53",[  195] ,[ 1228] *,[  686] ,[ 1388] *,[ 1483] *,[  922] ,[  602] ,[  379] ,[ 2123] **,[  104] ,20250111_161053_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/fosfato/numpy_files/20250111_161053_foto_normalized.npy,0.1083,0.10943,0.1116
"2025-01-11,16:11:08",[  198] ,[ 1262] *,[  701] ,[ 1416] *,[ 1511] *,[  948] ,[  616] ,[  387] ,[ 2093] **,[  102] ,20250111_161108_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/fosfato/numpy_files/20250111_161108_foto_normalized.npy,0.10926,0.11045,0.11262
"2025-01-11,16:11:22",[  234] ,[ 1529] *,[  795] ,[ 1622] *,[ 1716] *,[ 1147] *,[  720] ,[  444] ,[ 1826] *,[   90] ,20250111_161122_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/fosfato/numpy_files/20250111_161122_foto_normalized.npy,0.1123,0.11324,0.11515
"2025-01-11,16:11:30",[  234] ,[ 1530] *,[  794] ,[ 1622] *,[ 1715] *,[ 1146] *,[  720] ,[  444] ,[ 1823] *,[   89] ,20250111_161130_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/fosfato/numpy_files/20250111_161130_foto_normalized.npy,0.11356,0.11344,0.11635
"2025-01-11,16:11:38",[  234] ,[ 1529] *,[  794] ,[ 1621] *,[ 1716] *,[ 1147] *,[  721] ,[  444] ,[ 1821] *,[   90] ,20250111_161138_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/fosfato/numpy_files/20250111_161138_foto_normalized.npy,0.11348,0.11442,0.11662
"2025-01-11,16:11:46",[  234] ,[ 1528] *,[  794] ,[ 1621] *,[ 1714] *,[ 1146] *,[  720] ,[  444] ,[ 1819] *,[   89] ,20250111_161146_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/fosfato/numpy_files/20250111_161146_foto_normalized.npy,0.11396,0.11475,0.11702
"2025-01-11,16:12:10",[  232] ,[ 1518] *,[  791] ,[ 1614] *,[ 1707] *,[ 1138] *,[  716] ,[  442] ,[ 1832] *,[   90] ,20250111_161210_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/fosfato/numpy_files/20250111_161210_foto_normalized.npy,0.11326,0.11422,0.11536
